"id";"cpuPercent";"cpuFreq";"ramPercent";"ramBytes";"discoPercent";"discoBytes";"downloadMbps";"uploadMbps";"dataHora"
789;13.6;2304.0;83.0;6978461696.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:20"
790;6.2;2304.0;83.0;6978461696.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:20"
791;6.2;2304.0;83.0;6978490368.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:20"
792;6.2;2304.0;83.0;6978494464.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:20"
793;9.4;2304.0;83.0;6978461696.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:20"
794;6.2;2304.0;83.0;6978453504.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:20"
795;6.2;2304.0;83.0;6978445312.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:20"
796;56.2;2304.0;83.0;6978228224.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:20"
797;6.2;2304.0;83.0;6971228160.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:20"
798;6.2;2304.0;83.0;6971236352.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:20"
799;9.4;2304.0;83.0;6971236352.0;41.0;211107610624.0;724.85;33.65;"2025-04-09 12:54:20"
800;18.8;2304.0;83.0;6971146240.0;41.0;211107610624.0;724.85;33.65;"2025-04-09 12:54:20"
801;6.2;2304.0;83.0;6971146240.0;41.0;211107610624.0;724.85;33.65;"2025-04-09 12:54:20"
802;29.4;2304.0;83.0;6971150336.0;41.0;211107610624.0;724.85;33.65;"2025-04-09 12:54:20"
803;3.4;2304.0;83.0;6971150336.0;41.0;211107610624.0;724.85;33.65;"2025-04-09 12:54:20"
804;5.3;2304.0;83.0;6971109376.0;41.0;211107610624.0;724.85;33.65;"2025-04-09 12:54:20"
805;25.0;2304.0;83.0;6971179008.0;41.0;211107610624.0;724.85;33.65;"2025-04-09 12:54:20"
